Gene,ALL1,ALL2
L02785_at,-58,26
L02840_at,120,115
L02867_at,73,-340
L02932_at,29,82
L02950_at,50,113
L03427_at,-76,-32
L03532_at,1684,2197
L03785_at,648,327
L04270_at,-796,-970
L04490_at,-10,175
L04510_at,3,66
L04656_at,104,158
L04733_at,370,125
L04947_at,-588,-459
L04953_at,419,291
L05147_at,-379,-394
L05148_at,545,2959
L05424_cds2_at,-234,-65
L05425_at,82,7
L05500_at,-136,-259
L05512_at,340,315
L05515_at,-145,-213
L05568_at,134,157
L05597_at,-76,-29
L05606_at,-516,-320
L05779_at,296,397
L06132_at,850,701
L06139_at,-243,-16
L06147_at,-1410,-1235
L06175_at,8,-182
L06419_at,-819,-1487
L06499_at,20764,17636
L06505_at,9324,11126
L06633_at,12,133
L06845_at,-399,-59
L06895_at,-883,-323
L07033_at,309,158
L07044_at,-80,285
L07077_at,8,9
L07493_at,74,185
L07515_at,210,80
L07540_at,-572,-374
L07541_at,61,91
L07548_at,215,294
L07590_at,104,28
L07592_at,-520,-318
L07594_at,64,-16
L07597_at,52,62
L07633_at,3586,4802
L07738_at,-274,-467
L07758_at,481,361
L07765_at,397,314
L07868_at,24,65
L07949_at,10,18
L07956_at,179,51
L08069_at,1361,2148
L08177_at,-110,18
L08187_at,984,947
L08246_at,543,2972
L08424_at,-18,23
L08485_at,16,36
L08488_at,-163,-12
L08666_at,987,1564
L09190_rna1_at,149,97
L09234_at,-6,28
L09235_at,130,133
L09260_at,626,760
L09604_at,1525,2283
L09708_at,53,235
L09717_at,-2,100
L09749_at,-47,-20
L09753_at,-246,-98
L10035_at,53,56
L10102_rna1_at,97,60
L10123_at,51,109
L10284_at,1859,1631
L10343_at,92,60
L10373_at,536,1258
L10374_at,-11,64
L10378_at,954,472
L10381_at,-63,-89
L10386_at,469,-286
L10403_at,-378,-224
L10405_at,-13,-19
L10665_at,117,82
L10678_at,-92,139
L10838_at,2794,2393
L10844_at,-60,-35
L10910_at,423,841
L11005_at,-40,4
L11239_at,-81,120
L11285_at,859,891
L11329_at,-359,1280
L11353_at,-193,142
L11369_at,96,161
L11370_at,1325,1266
L11372_at,-82,-46
L11373_at,1418,722
L11566_at,12112,15076
L11573_at,33,-36
L11669_at,723,995
L11695_at,-93,-84
L11708_at,137,251
L12168_at,3477,3509
L12350_at,78,32
L12392_at,1413,732
L12468_at,100,80
L12535_at,305,373
L12701_cds2_at,116,-19
L12723_at,346,168
L13042_at,258,32
L13197_at,44,18
L13203_at,1055,932
L13210_at,-381,329
L13258_at,185,-32
L13278_at,193,31
L13286_at,54,-47
L13329_at,61,118
L13391_at,23,1217
L13434_at,478,482
L13436_at,307,322
L13689_at,628,658
L13698_at,22,-89
L13720_at,-1579,-518
L13738_at,104,728
L13761_rna1_at,294,655
L13800_at,173,193
L13848_at,451,996
L13852_at,1967,1752
L13923_at,349,144
L13972_at,411,855
L13977_at,211,116
L13994_at,-393,-299
L14076_at,1013,494
L14269_at,54,29
L14542_at,-94,-12
L14565_at,734,229
L14595_at,-473,-168
L14754_at,453,314
L14787_at,88,180
L14812_at,337,343
L14813_at,3359,3301
L14837_at,143,28
L14856_at,768,355
L14922_at,75,101
L14927_at,-1245,-1815
L15309_at,208,86
L15344_at,-336,-611
L15388_at,-341,-435
L15409_at,528,437
L15440_at,-1637,-2244
L15533_rna1_at,-39,-43
L15702_at,1718,1279
L16464_at,316,134
L16782_at,83,50
L16842_at,569,1299
L16862_at,1787,-12
L16895_at,224,114
L16896_at,153,39
L16991_at,343,368
L17128_at,154,151
L17131_rna1_at,4801,2853
L17325_at,-54,-33
L17327_at,-206,299
L17328_at,203,108
L17330_at,186,43
L18960_at,1055,1528
L18972_at,552,390
L18983_at,3234,1758
L19058_at,-9,-10
L19063_at,-214,-130
L19067_at,904,652
L19161_at,304,89
L19183_at,184,141
L19267_at,1335,1070
L19297_at,-120,-197
L19314_at,303,263
L19401_at,136,162
L19437_at,990,2605
L19527_at,15020,17275
L19593_at,44,29
L19605_at,1790,3155
L19686_rna1_at,785,7260
L19711_at,-76,-55
L19778_at,4,-2
L19779_at,4660,4644
L19783_at,19,184
L19871_at,3,886
L19872_at,-43,526
L20010_at,1616,1417
L20298_at,1290,1752
L20316_at,1465,1221
L20320_at,104,71
L20321_at,42,37
L20348_at,52,35
L20591_at,31,0
L20773_at,1911,1212
L20814_at,12,43
L20815_at,442,611
L20826_at,177,100
L20852_at,-5,43
L20859_at,-49,187
L20861_at,142,65
L20941_at,2654,6765
L20971_at,311,344
L21715_at,-225,-160
L21893_at,397,230
L21934_at,22,44
L21936_at,552,206
L21954_at,1173,1948
L21993_at,-160,-614
L22005_at,-450,-3
L22009_at,3401,2996
L22075_at,132,153
L22206_at,-563,-896
L22214_at,391,410
L22342_at,1334,1330
L22343_at,427,151
L22548_at,-294,-171
L22650_at,55,12
L23116_at,-137,59
L23808_at,-116,-177
L23852_at,56,74
L23959_at,-823,-1003
L24203_at,-90,-180
L24470_at,54,55
L24559_at,1367,1070
L24564_at,-945,-791
L24783_at,493,937
L24804_at,990,976
L25080_at,7881,7772
L25081_at,1853,267
L25085_at,809,1802
L25119_at,177,20
L25270_at,-312,-213
L25441_at,-12,-13
L25444_at,324,362
L25798_at,-56,70
L25851_at,362,1623
L25876_at,553,234
L26081_at,-333,-431
L26234_at,116,-148
L26247_at,4279,13116
L26336_at,154,109
L26339_at,-887,-767
L26494_at,718,68
L26953_at,115,3
L27050_at,-146,-139
L27071_at,20,115
L27080_at,-399,-512
L27476_at,116,99
L27479_at,355,-35
L27560_at,-97,-14
L27586_at,165,97
L27706_at,486,491
L27841_at,297,715
L27943_at,439,1169
L28010_at,802,575
L28175_at,-229,1034
L28821_at,-24,-22
L28957_at,30,34
L28997_at,255,147
L29008_at,143,533
L29217_at,-1566,-1109
L29218_at,658,437
L29277_at,617,671
L29339_at,-131,-98
L29376_at,39,-16
L29433_at,-185,-12
L31529_at,-181,-52
L31573_at,-170,-671
L31584_at,476,364
L31801_at,1054,923
L31860_at,-107,-54
L31881_at,-14,-225
L32137_at,227,132
L32140_at,3,9
L32163_at,8,41
L32164_at,98,43
L32179_at,194,119
L32866_at,-130,51
L32976_at,265,160
L32977_at,959,2475
L33243_at,601,297
L33404_at,-664,-529
L33477_at,-153,-144
L33798_at,-637,-438
L33799_at,29,-41
L33801_at,287,354
L33842_rna1_at,1185,1337
L33881_at,277,200
L34059_at,253,167
L34060_at,844,655
L34075_at,336,209
L34081_at,-38,-6
L34155_at,-111,-270
L34219_at,112,89
L34357_at,284,87
L34409_at,88,-15
L34587_at,795,1319
L34600_at,96,91
L34657_at,250,581
L34673_at,-107,-36
L34820_at,353,75
L34838_at,-658,-557
L35035_at,88,183
L35240_at,529,13
L35251_rna1_at,44,-20
L35269_at,266,273
L35475_at,1118,589
L35545_at,-49,-1
L35546_at,314,80
L35592_at,168,57
L35854_at,-95,57
L36033_at,144,50
L36051_at,-35,-78
L36069_at,-761,-464
L36151_at,1810,2961
L36463_at,-444,154
L36529_at,117,64
L36531_at,656,328
L36642_at,24,-30
L36645_at,421,64
L36720_at,-137,60
L36818_at,744,238
L36844_at,271,149
L36847_at,90,200
L36861_at,83,115
L36922_at,911,886
L36983_at,485,339
L37033_at,927,3244
L37042_at,266,473
L37043_at,1186,877
L37127_at,92,1185
L37199_at,123,72
L37347_at,-78,-106
L37362_at,39,-55
L37368_at,1655,2104
L37378_at,-45,32
L37792_at,718,562
L37882_at,86,171
L37936_at,403,402
L38025_at,-163,-167
L38486_at,536,987
L38487_at,-413,605
L38500_at,41,69
L38503_at,355,109
L38517_at,-268,25
L38608_at,-8,76
L38616_at,325,359
L38696_at,733,1277
L38707_at,621,552
L38810_at,575,807
L38820_at,-15,26
L38928_at,123,220
L38929_at,103,269
L38932_at,2022,1425
L38933_rna1_at,40,144
L38935_at,265,293
L38941_at,15962,21492
L38951_at,278,792
L38961_at,257,127
L38969_at,-219,-145
L39009_at,-166,-80
L39059_at,57,402
L39060_at,-130,0
L39061_at,214,133
L39064_rna1_at,-73,160
L39211_at,68,-20
L39833_at,14,55
L39874_at,731,946
L40027_at,1125,829
L40157_at,71,0
L40357_at,736,482
L40366_at,-75,-30
L40371_at,-83,101
L40377_at,-169,-180
L40379_at,-48,18
L40380_at,121,116
L40387_at,443,389
L40388_at,0,25
L40391_at,1167,1083
L40392_at,578,692
L40393_at,108,71
L40394_at,258,107
L40395_at,418,377
L40396_at,12,9
L40399_at,-47,-40
L40400_at,46,350
L40401_at,395,571
L40402_at,-142,-150
L40403_at,-95,-83
L40407_at,-110,97
L40410_at,534,566
L40411_at,274,219
L40586_at,101,350
L40636_at,65,-63
L40904_at,87,208
L40933_at,-73,-355
L40992_at,-100,143
L41066_at,-55,-45
L41067_at,702,419
L41143_at,-564,-318
L41147_at,-61,-99
L41162_at,-449,-725
L41349_at,-56,-24
L41351_at,-176,-28
L41559_at,-10,-13
L41607_at,44,0
L41668_rna1_at,-22,-10
L41680_at,-557,-515
L41690_at,544,482
L41816_at,-812,-994
L41870_at,459,141
L41887_rna1_at,290,349
L41913_at,68,5
L41919_rna1_at,-19,-141
L41939_at,-89,-299
L42025_rna1_at,377,219
L42176_at,57,-43
L42243_cds1_at,91,137
L42324_at,348,259
L42354_at,342,653
L42373_at,662,653
L42379_at,-4,1134
L42450_at,84,-21
L42451_at,701,472
L42452_at,-79,-103
L42542_at,474,316
L42563_at,317,181
L42572_at,472,388
L42621_at,878,268
L43338_at,74,14
L43366_at,235,135
L43631_at,841,761
L43821_at,-93,-74
L43964_at,-2,-145
L47345_at,350,495
L47726_at,84,43
L47738_at,571,2893
L48211_at,-49,-48
L48513_at,-30,25
L48516_at,66,17
L48546_at,291,1276
L48692_at,-32,67
L48728_cds1_at,263,217
L49054_at,-64,-84
L49169_at,741,5605
L75847_at,-13,61
L76159_at,431,387
L76191_at,1720,1127
L76200_at,1610,3479
L76224_at,1011,578
L76380_at,232,247
L76465_at,116,18
L76571_at,49,-113
L76687_at,73,7
L76702_at,394,310
L76703_at,417,502
L76927_rna1_at,-94,-180
L76937_rna1_at,77,133
L77213_at,549,56
L77559_at,16,-92
L77561_at,376,384
L77563_at,76,-132
L77566_at,-77,-19
L77571_at,-127,-767
L77701_at,-847,-751
L77730_at,250,205
L77864_at,-590,-259
L77886_at,1126,87
L78132_at,127,111
L78267_at,175,103
L78440_at,617,1471
L78833_cds2_at,-42,-114
M10014_cds1_at,148,85
M10050_at,-232,-113
M10058_at,-711,-249
M10612_at,707,138
M10901_at,690,373
M10950_cds2_at,-112,-129
M11058_at,36,28
M11119_at,1768,1189
M11147_at,5418,17348
M11186_at,80,244
M11321_at,-171,-206
M11353_at,14913,14924
M11433_at,124,31
M11437_cds1_at,-97,15
M11437_cds2_at,179,72
M11567_rna1_at,-552,-526
M11591_at,94,-14
M11717_rna1_at,291,441
M11718_at,179,54
M11722_at,3282,1627
M11726_at,389,265
M11749_at,-308,127
M11973_cds1_at,69,82
M12036_at,-179,-283
M12174_at,710,394
M12529_at,-338,-500
M12625_at,0,372
M12759_at,1080,4490
M12886_at,723,9456
M13143_at,304,278
M13149_at,240,194
M13194_at,488,638
M13207_at,-203,-231
M13241_at,89,29
M13450_at,2149,1870
M13666_at,385,131
M13699_at,-136,44
M13755_at,1136,494
M13792_at,3221,10954
M13903_at,343,286
M13934_cds1_at,-190,-231
M13934_cds2_at,14108,12913
M13955_at,303,329
M13982_at,-475,-654
M14016_at,339,329
M14058_at,613,185
M14091_at,18,-39
M14113_at,217,71
M14123_xpt2_at,211,84
M14123_xpt3_at,26,72
M14123_xpt4_at,-449,-127
M14158_cds4_at,434,307
M14159_cds2_at,-289,-386
M14200_rna1_at,685,1629
M14218_at,-667,-687
M14219_at,147,238
M14338_at,-65,-16
M14539_at,-106,80
M14565_at,54,76
M14636_at,-44,52
M14648_at,-21,-41
M14660_at,63,43
M14676_at,1864,1293
M14764_at,575,285
M14949_at,31,0
M15059_at,831,327
M15182_at,1491,845
M15205_at,989,759
M15353_at,83,54
M15517_cds5_at,-157,-156
M15656_at,-403,-985
M15661_at,926,1646
M15780_at,-109,-99
M15796_at,479,430
M15841_at,362,851
M15856_at,66,119
M15881_at,215,-81
M15958_at,-958,-944
M15990_at,392,502
M16038_at,365,624
M16279_at,3079,10455
M16282_at,410,198
M16404_at,-83,-101
M16405_at,793,230
M16424_at,414,-223
M16441_cds1_at,-390,-840
M16447_at,203,185
M16505_at,-84,-67
M16801_at,114,-27
M16937_at,87,59
M16961_at,128,128
M16967_at,-270,-24
M16973_at,253,-9
M17219_at,70,40
M17262_at,293,233
M17316_at,-81,-329
M17466_at,-45,-197
M17733_at,14223,17650
M17754_at,371,133
M17885_at,20663,23952
M17886_at,14744,16712
M18000_at,17748,21825
M18079_at,21,83
M18185_at,-68,-147
M18533_at,-27,25
M18728_at,-7,30
M18731_at,-746,-598
M18737_rna1_at,615,244
M19159_at,1317,1266
M19283_at,6284,14069
M19301_at,152,106
M19481_at,-63,0
M19483_at,2810,5085
M19507_at,56,-29
M19645_at,520,2171
M19684_at,-41,-662
M19720_rna1_at,329,205
M19720_rna2_at,-232,-81
M19722_at,1563,1007
M19961_at,1120,1331
M19989_cds1_at,-213,-100
M19989_cds2_at,205,176
M20137_at,197,100
M20218_at,-90,74
M20471_at,957,1357
M20530_at,189,205
M20543_at,-11,59
M20681_at,96,2580
M20777_at,-242,-339
M20786_at,-790,-567
M20902_at,506,142
M20919_at,-178,-49
M21005_at,147,1858
M21056_at,-236,-150
M21121_at,148,276
M21154_at,283,752
M21186_at,6312,4497
M21188_at,-52,49
M21259_at,1716,2421
M21389_at,-442,132
M21494_at,-96,50
M21551_rna1_at,178,336
M21574_at,75,53
M21624_at,272,11799
M21812_at,893,622
M21904_at,1461,2610
M21934_at,158,317
M21984_at,-454,680
M21985_at,411,217
M22005_at,-100,-196
M22092_at,-228,-183
M22324_at,135,153
M22382_at,1683,1359
M22430_at,417,275
M22489_at,106,-101
M22490_at,1235,639
M22538_at,704,4107
M22632_at,-370,21
M22638_at,552,131
M22760_at,625,1594
M22877_at,275,557
M22898_at,474,339
M22919_rna2_at,332,1754
M22960_at,330,811
M22976_at,369,379
M22995_at,424,609
M23114_at,277,358
M23161_at,471,282
M23197_at,261,101
M23254_at,775,553
M23294_at,162,39
M23379_at,272,-25
M23533_at,-73,-369
M23613_at,9459,6073
M23668_at,107,-32
M24194_at,16944,14183
M24248_at,1306,948
M24351_cds2_at,-65,97
M24364_at,28,22
M24398_at,166,-416
M24400_at,-173,-156
M24439_at,444,1243
M24461_at,126,156
M24470_at,441,237
M24594_at,43,160
M24899_at,-1091,-735
M24902_at,5,56
M25077_at,-96,122
M25164_at,355,128
M25269_at,376,184
M25280_at,670,8521
M25322_at,257,159
M25393_at,139,24
M25629_at,139,87
M25753_at,265,21
M25756_at,119,74
M25809_at,274,343
M25897_at,40,192
M26061_at,64,76
M26062_at,-308,-124
M26167_rna1_at,-17,32
M26576_cds2_at,723,297
M26602_at,-272,-194
M26679_at,-135,-48
M26682_at,-61,121
M26683_at,395,315
M26880_at,6594,10565
M27160_at,236,167
M27161_at,391,287
M27281_at,-85,128
M27288_at,-1173,-278
M27492_at,-27,11
M27543_at,95,101
M27819_at,41,45
M27826_at,23,-190
M27878_at,-23,-87
M27891_at,303,1358
M28209_at,472,564
M28210_at,-592,-300
M28211_at,-126,50
M28212_at,190,84
M28214_at,-258,-302
M28215_at,207,245
M28219_at,-69,-40
M28249_at,118,36
M28713_at,923,1333
M28825_at,553,359
M28826_at,-20,-84
M28827_at,-331,-388
M28879_at,143,244
M28983_at,180,180
M29064_at,1513,2221
M29194_at,-30,27
M29204_at,178,239
M29273_at,248,186
M29458_at,82,38
M29474_at,2187,6
M29536_at,856,856
M29540_at,76,0
M29550_at,287,39
M29551_at,190,83
M29580_at,-284,-192
M29581_at,739,623
M29696_at,3863,511
M29877_at,2987,130
M29927_at,-21,238
M29960_at,296,95
M29971_at,140,49
M30135_at,-241,-187
M30185_at,201,76
M30269_at,206,193
M30496_at,97,224
M30773_at,-23,-4
M30818_at,586,273
M30894_at,189,5569
M30938_at,1338,1230
M31013_at,2676,2983
M31153_at,-835,-409
M31158_at,296,157
M31165_at,-13,33
M31166_at,31,76
M31210_at,8,428
M31303_rna1_at,3828,3021
M31328_at,888,429
M31520_at,14924,18002
M31525_at,1705,805
M31606_at,-1096,-910
M31627_at,4971,8389
M31642_at,999,550
M31651_at,196,37
M31659_at,169,19
M31661_at,-38,184
M31682_at,-1109,-699
M31899_at,339,261
M31951_at,-859,-570
M31994_at,428,313
M32011_at,652,135
M32053_at,-60,3919
M32313_at,679,306
M32315_at,752,691
M32334_at,995,562
M32373_at,96,59
M32402_at,-108,-164
M32405_at,6163,4830
M32598_at,4,81
M32639_at,-94,-42
M32886_at,236,251
M33195_at,98,822
M33308_at,803,570
M33336_at,1801,781
M33374_at,-255,-220
M33478_at,102,10
M33518_at,555,463
M33521_at,1516,1048
M33552_at,635,2673
M33653_at,-41,-239
M33680_at,5565,5318
M33764_at,2120,6041
M33882_at,-158,607
M33987_at,199,87
M34041_at,219,524
M34057_at,-101,-61
M34065_at,42,-22
M34079_at,1081,1380
M34175_at,1128,755
M34181_at,248,223
M34182_at,2929,2392
M34192_at,255,205
M34309_at,49,34
M34344_at,427,82
M34423_at,280,114
M34455_at,351,261
M34539_at,1703,1845
M34667_at,553,382
M34668_at,58,174
M34677_at,687,971
M35128_at,236,604
M35198_at,210,225
M35252_at,-6,6
M35296_at,137,-99
M35416_at,119,115
M35531_at,244,-194
M35878_at,527,17
M36067_at,454,238
M36089_at,235,519
M36200_at,305,72
M36205_at,-8,109
M36341_at,775,954
M36803_at,-22,68
M37033_at,6095,3794
M37104_at,712,1129
M37190_at,138,174
M37197_at,294,376
M37245_at,480,422
M37400_at,70,98
M37435_at,228,184
M37583_at,2030,2741
M37721_at,245,124
M37763_at,11,55
M37766_at,703,1781
M37815_cds1_at,-43,53
M37825_at,-57,4
M37984_rna1_at,772,833
M38591_at,575,223
M38690_at,405,0
M54927_at,30,64
M54951_at,272,134
M54968_at,149,123
M54992_at,392,-116
M54995_at,81,146
M55040_at,425,318
M55047_at,251,260
M55067_at,592,852
M55131_at,403,39
M55150_at,654,1283
M55153_at,280,275
M55172_at,-132,-122
M55210_at,61,37
M55265_at,511,555
M55267_at,170,318
M55268_at,1366,792
M55284_at,113,183
M55420_at,244,209
M55531_at,434,13
M55542_at,30,39
M55543_at,-1,42
M55593_at,923,705
M55621_at,-336,-360
M55671_at,351,399
M55905_at,82,143
M57230_at,-121,-191
M57293_at,71,100
M57399_at,305,200
M57471_at,-24,-28
M57506_rna1_at,-273,-383
M57567_at,672,1265
M57609_at,193,126
M57710_at,-115,2171
M57730_at,-167,-360
M57732_at,-285,-312
M57763_at,320,794
M57892_at,-133,79
M58028_at,2450,2507
M58285_at,1917,1603
M58297_at,-253,-233
M58378_cds1_at,652,498
M58459_at,2277,406
M58583_at,236,267
M58597_at,127,21
M58600_rna1_at,-576,-396
M58603_at,503,438
M59371_at,431,-119
M59465_at,800,4008
M59488_at,88,35
M59499_at,61,52
M59807_at,2069,14463
M59815_at,952,662
M59820_at,103,-84
M59829_at,145,129
M59830_at,206,270
M59911_at,176,205
M59916_at,-880,-538
M59941_at,169,5
M59964_at,-69,-48
M59979_at,-371,14
M60047_at,-180,-228
M60052_at,-109,-473
M60091_at,565,418
M60092_at,189,85
M60094_rna1_at,-39,43
M60165_cds1_at,499,519
M60278_at,198,142
M60298_at,-127,55
M60299_at,-743,-667
M60314_at,-138,-122
M60315_at,46,-75
M60331_at,-44,-95
M60459_at,235,34
M60527_at,363,156
M60556_rna2_at,-454,-378
M60626_at,-40,40
M60721_at,367,-320
M60724_at,64,101
M60748_at,-193,109
M60749_at,-16,-65
M60752_at,55,980
M60830_at,506,599
M60854_at,19478,20027
M60858_rna1_at,5147,5821
M60922_at,745,544
M61156_at,18,0
M61176_at,75,42
M61199_at,137,406
M61733_at,1,4
M61764_at,-312,-185
M61906_at,209,160
M61916_at,55,10
M62302_at,160,135
M62324_at,389,514
M62397_at,118,27
M62400_at,107,-82
M62402_at,-3,318
M62424_at,30,73
M62486_at,245,197
M62505_at,-464,-36
M62762_at,835,3072
M62783_at,453,423
M62800_at,-496,-374
M62810_at,-67,67
M62831_at,3035,7085
M62840_at,-757,-101
M62843_at,-541,-3
M62958_at,170,-105
M62982_at,-269,-79
M62994_at,302,219
M63138_at,1410,2325
M63154_at,-106,-61
M63167_at,822,988
M63175_at,657,451
M63180_at,598,606
M63256_at,-204,-105
M63262_at,1307,1506
M63379_at,435,286
M63391_rna1_at,-251,-617
M63483_at,910,1260
M63488_at,102,-6
M63573_at,-1044,679
M63582_at,947,690
M63589_at,-45,-3
M63603_at,152,77
M63623_at,80,157
M63835_at,-152,-113
M63896_at,-2,3
M63904_at,658,7739
M63928_at,720,33
M63959_at,468,1121
M63962_rna1_at,-134,-57
M63967_at,154,161
M64082_at,-69,-32
M64098_at,694,782
M64099_at,-217,-272
M64108_at,553,491
M64174_at,588,511
M64347_at,156,79
M64358_at,82,-66
M64497_at,363,186
M64554_rna1_at,-35,32
M64571_at,693,804
M64572_at,-345,-399
M64590_at,190,120
M64595_at,439,1805
M64673_at,251,655
M64676_at,-115,-166
M64716_at,13008,13342
M64788_at,-1354,-2218
M64925_at,1287,1416
M64929_at,114,358
M64930_at,114,-7
M64934_at,36,311
M64936_at,262,111
M64992_at,919,1276
M65066_at,210,611
M65085_at,340,272
M65131_rna1_at,252,182
M65199_at,-1461,-889
M65217_at,277,280
M65254_at,352,199
M65290_at,-22,2
M65291_at,-19,48
M67439_at,-190,-607
M68516_rna1_at,-31,-69
M68520_at,569,557
M68840_at,-21,-150
M68864_at,697,9
M68874_at,-14,-3
M68891_at,392,232
M68895_rna1_at,-214,43
M68941_at,169,740
M69023_at,332,387
M69039_at,403,1063
M69043_at,1489,6084
M69066_at,6766,8229
M69177_at,94,135
M69225_at,-40,-10
M69238_at,-84,98
M73047_at,111,143
M73077_at,-228,-227
M73481_at,-339,-316
M73482_at,-185,-62
M73489_at,41,241
M73547_at,777,90
M73720_at,278,168
M73780_at,168,258
M74002_at,1210,2149
M74047_at,-161,-187
M74089_at,63,101
M74091_at,49,62
M74093_at,-114,15
M74096_at,150,26
M74099_at,335,537
M74161_at,113,87
M74290_at,-730,-1073
M74297_at,95,57
M74447_at,26,-51
M74491_at,1815,1790
M74524_at,857,330
M74525_at,131,68
M74542_at,-722,-697
M74558_at,96,102
M74719_at,5452,96
M74826_at,354,64
M75099_at,827,563
M75106_at,-132,-107
M75110_at,69,-14
M75126_at,574,753
M76180_at,45,29
M76231_at,-301,-329
M76378_at,114,675
M76424_at,431,234
M76446_at,-431,-235
M76482_at,244,163
M76558_at,-302,-55
M76559_at,75,114
M76665_at,50,96
M76766_at,357,592
M77016_at,63,-15
M77140_at,64,-49
M77142_at,296,164
M77232_rna1_at,13058,19729
M77235_at,-229,-152
M77349_at,-6,490
M77698_at,709,1269
M77810_at,-404,-47
M77836_at,668,515
M79462_at,40,109
M80244_at,70,1122
M80254_at,-88,109
M80333_at,885,593
M80335_at,427,469
M80359_at,-18,-43
M80478_at,-2850,-2034
M80482_at,395,210
M80563_at,1510,1607
M80629_at,477,368
M80647_at,-314,434
M80783_at,153,123
M80899_at,609,329
M81057_at,410,298
M81118_at,51,130
M81379_at,-42,-28
M81601_at,1467,2088
M81637_at,67,49
M81750_at,-38,24
M81757_at,19295,21939
M81758_at,791,20
M81780_cds3_at,263,120
M81780_cds4_at,-144,-352
M81780_cds5_at,769,227
M81829_at,279,299
M81830_at,599,477
M81882_at,81,20
M81933_at,-240,-11
M82809_at,295,399
M82882_at,313,1109
M82919_at,24,76
M82962_at,152,53
M83088_at,1019,635
M83181_at,781,224
M83186_at,-103,-224
M83221_at,753,1202
M83233_at,31,137
M83308_at,-1227,-1431
M83363_at,182,68
M83554_at,-442,-265
M83651_at,-619,-250
M83738_at,16,66
M83751_at,554,1006
M83772_at,-181,-43
M83822_at,-101,-18
M83941_at,-74,48
M84332_at,3248,5401
M84349_at,-102,-134
M84526_at,-283,-65
M84605_at,67,66
M84711_at,15442,17789
M84739_at,1627,5134
M85085_at,-92,-103
M85164_at,321,368
M85165_at,134,65
M85169_at,222,532
M85217_at,-174,12
M85220_at,157,-9
M85247_at,654,452
M85276_at,730,660
M86400_at,6534,7503
M86406_at,-175,-28
M86407_at,-162,-133
M86528_at,-9,93
M86546_at,959,567
M86667_at,2283,2300
M86699_at,199,52
M86707_at,226,153
M86737_at,732,689
M86752_at,294,-245
M86808_at,75,19
M86826_at,-1587,-1068
M86849_at,-131,49
M86852_at,-56,213
M86868_at,-613,-593
M86917_at,128,65
M86934_at,232,91
M87284_at,742,585
M87338_at,154,45
M87339_at,308,291
M87434_at,806,379
M87499_at,19,-65
M87503_at,1619,1522
M87860_at,-393,-281
M88108_at,1988,2137
M88163_at,254,266
M88279_at,1599,1763
M88282_at,14,384
M88338_at,174,-22
M88458_at,554,275
M88468_at,2605,1919
M88579_at,70,120
M89473_at,554,197
M89796_rna1_at,-45,-59
M89955_at,-58,-153
M89957_at,2150,-512
M90299_at,756,393
M90359_at,-188,-202
M90366_at,279,250
M90516_at,122,65
M90656_at,239,311
M90657_at,35,-85
M90696_at,186,577
M90820_at,8,-115
M91029_cds2_at,485,1056
M91036_rna1_at,7,1405
M91083_at,486,653
M91196_at,-538,-482
M91432_at,767,814
M91438_at,165,504
M91467_at,268,209
M91585_at,507,413
M91592_at,701,419
M91670_at,485,1549
M92287_at,4778,2700
M92303_at,592,364
M92357_at,132,306
M92424_at,230,134
M92432_at,-288,-358
M92439_at,176,255
M92449_at,337,400
M92934_at,1722,62
M93036_at,170,155
M93056_at,83,921
M93107_at,859,479
M93119_at,51,83
M93221_at,82,82
M93283_at,891,631
M93284_at,177,143
M93405_at,1042,713
M93415_at,85,145
M93425_at,151,190
M93426_at,119,65
M93650_at,434,236
M93718_at,1044,1298
M94065_at,232,96
M94077_at,-782,15
M94151_at,-45,-23
M94167_at,-359,-918
M94250_at,2652,208
M94345_at,152,4563
M94362_at,949,1020
M94547_at,-87,-419
M94556_at,814,943
M94630_at,3364,2491
M94633_at,287,-26
M94856_at,363,1049
M94893_at,-507,-176
M95167_at,-91,95
M95178_at,254,68
M95549_at,666,298
M95610_at,182,598
M95623_cds1_at,433,413
M95627_at,1228,1054
M95678_at,1275,1876
M95712_at,871,348
M95724_at,90,107
M95767_at,72,267
M95787_at,111,109
M95809_at,149,-84
M95925_at,-178,-152
M95929_at,-9,-377
M96326_rna1_at,782,368
M96684_at,-292,-310
M96739_at,1008,636
M96740_at,50,51
M96759_rna1_at,135,148
M96789_at,-601,-271
M96803_at,1805,771
M96859_at,490,113
M96944_at,179,-83
M96980_at,160,10
M96982_at,1772,3305
M97287_at,1122,3212
M97388_at,199,468
M97496_at,333,249
M97639_at,-107,-142
M97675_at,-119,11
M97815_at,645,104
M97856_at,1174,958
M97925_rna1_at,793,512
M97936_at,-646,-694
M98045_at,493,155
M98343_at,-218,-284
M98447_rna1_at,422,167
M98528_at,-57,-3
M98539_at,643,385
M98776_rna1_at,880,653
M98833_at,463,160
M99063_at,504,107
M99487_at,-87,-2
M99564_at,-165,-66
M99701_at,1404,383
S34389_at,113,-41
S39329_at,-14,-10
S42303_at,-74,-30
S42457_at,12,-24
S43646_at,702,560
S45630_at,480,309
S46622_at,394,194
S48983_at,-161,-51
S50223_at,268,346
S53911_at,777,576
S55606_at,160,103
S57235_at,-2825,-2482
S57887_at,62,78
S58544_at,93,114
S58733_at,301,257
S59049_at,267,1797
S59184_at,149,38
S61953_at,161,152
S62539_at,-31,61
S63912_at,483,552
